n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C R R D D G,C R L D D G,Period Start- Local time: 7:09 MST,20,00,T.B,CGY
2,1,FAC,C R R D D G,C R L D D G,T.B won Neu. Zone - T.B #13 PAQUETTE vs CGY #18 STAJAN,20,00,T.B,CGY
3,1,HIT,C R R D D G,C R L D D G,"CGY #18 STAJAN HIT T.B #13 PAQUETTE, Def. Zone",19,49,T.B,CGY
4,1,GIVE,C R R D D G,C R L D D G,"CGY GIVEAWAY - #6 WIDEMAN, Def. Zone",19,43,T.B,CGY
5,1,SHOT,C R R D D G,C R L D D G,"T.B ONGOAL - #23 BROWN, Wrist, Off. Zone, 29 ft.",19,36,T.B,CGY
6,1,SHOT,C R R D D G,C R L D D G,"CGY ONGOAL - #16 JOORIS, Wrist, Off. Zone, 25 ft.",19,22,T.B,CGY
7,1,SHOT,C C C D D G,C R L D D G,"CGY ONGOAL - #6 WIDEMAN, Wrist, Off. Zone, 15 ft.",19,21,T.B,CGY
8,1,MISS,C C C D D G,C C L D D G,"CGY #13 GAUDREAU, Wrist, Wide of Net, Off. Zone, 24 ft.",19,09,T.B,CGY
9,1,SHOT,C C C D D G,C C L D D G,"CGY ONGOAL - #13 GAUDREAU, Backhand, Off. Zone, 5 ft.",19,07,T.B,CGY
10,1,STOP,C C C D D G,C C L D D G,GOALIE STOPPED,19,06,T.B,CGY
11,1,FAC,C C C D D G,C C L D D G,T.B won Def. Zone - T.B #91 STAMKOS vs CGY #23 MONAHAN,19,06,T.B,CGY
12,1,BLOCK,C C C D D G,C C L D D G,"CGY #23 MONAHAN BLOCKED BY  T.B #91 STAMKOS, Wrist, Def. Zone",18,48,T.B,CGY
13,1,GIVE,C C C D D G,C C L D D G,"CGY GIVEAWAY - #27 HAMILTON, Neu. Zone",17,30,T.B,CGY
14,1,BLOCK,C C C D D G,C C L D D G,"T.B #62 SUSTR BLOCKED BY  CGY #21 RAYMOND, Wrist, Def. Zone",17,19,T.B,CGY
15,1,SHOT,C C C D D G,C C L D D G,"T.B ONGOAL - #42 MARCHESSAULT, Backhand, Off. Zone, 6 ft.",16,57,T.B,CGY
16,1,GIVE,C C C D D G,C C L D D G,"CGY GIVEAWAY - #15 SMID, Def. Zone",16,55,T.B,CGY
17,1,SHOT,C R R D D G,C R L D D G,"T.B ONGOAL - #6 STRALMAN, Slap, Off. Zone, 54 ft.",16,14,T.B,CGY
18,1,GOAL,C R R D D G,C C L D D G,"CGY #18 STAJAN(4), Backhand, Off. Zone, 7 ft.Assists: #5 GIORDANO(12); #7 BRODIE(17)",16,04,T.B,CGY
19,1,FAC,C C C D D G,C C L D D G,CGY won Neu. Zone - T.B #51 FILPPULA vs CGY #23 MONAHAN,16,04,T.B,CGY
20,1,TAKE,C C C D D G,C C L D D G,"CGY TAKEAWAY - #23 MONAHAN, Neu. Zone",15,54,T.B,CGY
21,1,BLOCK,C C C D D G,C C L D D G,"CGY #13 GAUDREAU BLOCKED BY  T.B #55 COBURN, Wrist, Def. Zone",15,51,T.B,CGY
22,1,HIT,C C C D D G,C C L D D G,"T.B #55 COBURN HIT CGY #23 MONAHAN, Def. Zone",15,30,T.B,CGY
23,1,SHOT,C R L D D G,C R L D D G,"CGY ONGOAL - #79 FERLAND, Wrist, Off. Zone, 12 ft.",14,59,T.B,CGY
24,1,BLOCK,C R L D D G,C C R D D G,"CGY #27 HAMILTON BLOCKED BY  T.B #18 PALAT, Wrist, Def. Zone",14,38,T.B,CGY
25,1,STOP,C C C D D G,C C L D D G,OFFSIDE,14,32,T.B,CGY
26,1,FAC,C C C D D G,C C L D D G,T.B won Off. Zone - T.B #11 BOYLE vs CGY #60 GRANLUND,14,32,T.B,CGY
27,1,TAKE,C C C D D G,C C L D D G,"CGY TAKEAWAY - #60 GRANLUND, Off. Zone",14,08,T.B,CGY
28,1,SHOT,C C C D D G,C C L D D G,"CGY ONGOAL - #60 GRANLUND, Wrist, Off. Zone, 12 ft.",14,06,T.B,CGY
29,1,SHOT,C C C D D G,C C L D D G,"CGY ONGOAL - #6 WIDEMAN, Wrist, Neu. Zone, 92 ft.",13,43,T.B,CGY
30,1,HIT,C C C D D G,C R L D D G,"CGY #17 BOUMA HIT T.B #89 NESTEROV, Neu. Zone",13,21,T.B,CGY
31,1,STOP,C C C D D G,C R L D D G,"OFFSIDE,TV TIMEOUT",13,20,T.B,CGY
32,1,FAC,C C C D D G,C C L D D G,CGY won Neu. Zone - T.B #51 FILPPULA vs CGY #23 MONAHAN,13,20,T.B,CGY
33,1,TAKE,C C C D D G,C C L D D G,"CGY TAKEAWAY - #13 GAUDREAU, Off. Zone",13,08,T.B,CGY
34,1,MISS,C C C D D G,C C L D D G,"CGY #5 GIORDANO, Slap, Wide of Net, Off. Zone, 66 ft.",13,06,T.B,CGY
35,1,SHOT,C C C D D G,C C L D D G,"T.B ONGOAL - #91 STAMKOS, Wrist, Off. Zone, 46 ft.",12,56,T.B,CGY
36,1,TAKE,C C C D D G,C C L D D G,"T.B TAKEAWAY - #55 COBURN, Neu. Zone",12,48,T.B,CGY
37,1,STOP,C R R D D G,C R L D D G,GOALIE STOPPED,12,17,T.B,CGY
38,1,FAC,C R R D D G,C R L D D G,CGY won Off. Zone - T.B #13 PAQUETTE vs CGY #11 BACKLUND,12,17,T.B,CGY
39,1,HIT,C R R D D G,C R L D D G,"T.B #89 NESTEROV HIT CGY #19 JONES, Def. Zone",11,53,T.B,CGY
40,1,HIT,C R R D D G,C R L D D G,"CGY #79 FERLAND HIT T.B #6 STRALMAN, Off. Zone",11,48,T.B,CGY
41,1,SHOT,C R R D D G,C R L D D G,"CGY ONGOAL - #6 WIDEMAN, Slap, Off. Zone, 64 ft.",11,43,T.B,CGY
42,1,HIT,C R L D D G,C C L D D G,"CGY #93 BENNETT HIT T.B #77 HEDMAN, Off. Zone",11,21,T.B,CGY
43,1,BLOCK,C R L D D G,C C L D D G,"T.B #62 SUSTR BLOCKED BY  CGY #4 RUSSELL, Slap, Def. Zone",11,17,T.B,CGY
44,1,BLOCK,C R L D D G,C C L D D G,"T.B #62 SUSTR BLOCKED BY  CGY #4 RUSSELL, Wrist, Def. Zone",11,16,T.B,CGY
45,1,HIT,C C R D D G,C R L D D G,"CGY #17 BOUMA HIT T.B #55 COBURN, Off. Zone",10,24,T.B,CGY
46,1,HIT,C C C D D G,C C L D D G,"CGY #8 COLBORNE HIT T.B #17 KILLORN, Def. Zone",10,13,T.B,CGY
47,1,STOP,C C C D D G,C C L D D G,OFFSIDE,10,03,T.B,CGY
48,1,FAC,C C C D D G,C C L D D G,CGY won Neu. Zone - T.B #51 FILPPULA vs CGY #23 MONAHAN,10,03,T.B,CGY
49,1,MISS,C C C D D G,C C L D D G,"CGY #13 GAUDREAU, Deflected, Wide of Net, Off. Zone, 12 ft.",9,33,T.B,CGY
50,1,HIT,C C C D D G,C C L D D G,"CGY #23 MONAHAN HIT T.B #51 FILPPULA, Off. Zone",9,30,T.B,CGY
51,1,MISS,C C C D D G,C R L D D G,"CGY #23 MONAHAN, Tip-In, Wide of Net, Off. Zone, 23 ft.",9,20,T.B,CGY
52,1,MISS,C C C D D G,C R L D D G,"CGY #19 JONES, Tip-In, Wide of Net, Off. Zone, 15 ft.",9,14,T.B,CGY
53,1,SHOT,C C C D D G,C R L D D G,"CGY ONGOAL - #23 MONAHAN, Wrist, Off. Zone, 39 ft.",9,11,T.B,CGY
54,1,STOP,C C C D D G,C R L D D G,"GOALIE STOPPED,TV TIMEOUT",9,10,T.B,CGY
55,1,FAC,C C C D D G,C C L D D G,CGY won Off. Zone - T.B #11 BOYLE vs CGY #93 BENNETT,9,10,T.B,CGY
56,1,SHOT,C C C D D G,C C L D D G,"CGY ONGOAL - #6 WIDEMAN, Wrist, Off. Zone, 61 ft.",9,05,T.B,CGY
57,1,STOP,C C C D D G,C C L D D G,GOALIE STOPPED,9,05,T.B,CGY
58,1,FAC,C C C D D G,C C L D D G,T.B won Def. Zone - T.B #11 BOYLE vs CGY #93 BENNETT,9,05,T.B,CGY
59,1,SHOT,C C C D D G,C C L D D G,"CGY ONGOAL - #60 GRANLUND, Snap, Off. Zone, 45 ft.",8,52,T.B,CGY
60,1,BLOCK,C C C D D G,C C L D D G,"T.B #90 NAMESTNIKOV BLOCKED BY  CGY #60 GRANLUND, Wrist, Def. Zone",8,36,T.B,CGY
61,1,SHOT,C C C D D G,C C L D D G,"T.B ONGOAL - #77 HEDMAN, Backhand, Off. Zone, 8 ft.",8,29,T.B,CGY
62,1,BLOCK,C C C D D G,C C L D D G,"T.B #6 STRALMAN BLOCKED BY  CGY #60 GRANLUND, Wrist, Def. Zone",8,23,T.B,CGY
63,1,MISS,C R L D D G,C R L D D G,"T.B #9 JOHNSON, Backhand, Wide of Net, Off. Zone, 22 ft.",7,57,T.B,CGY
64,1,HIT,C R L D D G,C R L D D G,"CGY #79 FERLAND HIT T.B #18 PALAT, Neu. Zone",7,39,T.B,CGY
65,1,HIT,C R L D D G,C R L D D G,"T.B #18 PALAT HIT CGY #16 JOORIS, Def. Zone",7,28,T.B,CGY
66,1,SHOT,C R L D D G,C R L D D G,"CGY ONGOAL - #17 BOUMA, Wrist, Off. Zone, 16 ft.",7,23,T.B,CGY
67,1,HIT,C R R D D G,C R L D D G,"T.B #86 KUCHEROV HIT CGY #5 GIORDANO, Neu. Zone",7,13,T.B,CGY
68,1,SHOT,C R R D D G,C R L D D G,"T.B ONGOAL - #13 PAQUETTE, Wrist, Off. Zone, 20 ft.",6,59,T.B,CGY
69,1,GIVE,C R R D D G,C R L D D G,"CGY GIVEAWAY - #18 STAJAN, Def. Zone",6,56,T.B,CGY
70,1,BLOCK,C R R D D G,C R L D D G,"T.B #89 NESTEROV BLOCKED BY  CGY #7 BRODIE, Wrist, Def. Zone",6,52,T.B,CGY
71,1,STOP,C R R D D G,C C L D D G,OFFSIDE,6,39,T.B,CGY
72,1,FAC,C C C D D G,C C L D D G,T.B won Neu. Zone - T.B #51 FILPPULA vs CGY #23 MONAHAN,6,39,T.B,CGY
73,1,BLOCK,C C C D D G,C C L D D G,"T.B #77 HEDMAN BLOCKED BY  CGY #4 RUSSELL, Wrist, Def. Zone",6,16,T.B,CGY
74,1,STOP,C C C D D G,C C L D D G,PUCK IN NETTING,6,15,T.B,CGY
75,1,FAC,C C C D D G,C C L D D G,T.B won Off. Zone - T.B #11 BOYLE vs CGY #60 GRANLUND,6,15,T.B,CGY
76,1,MISS,C C C D D G,C C L D D G,"T.B #42 MARCHESSAULT, Wrist, Wide of Net, Off. Zone, 26 ft.",5,59,T.B,CGY
77,1,HIT,C C C D D G,C C L D D G,"CGY #60 GRANLUND HIT T.B #42 MARCHESSAULT, Neu. Zone",5,50,T.B,CGY
78,1,HIT,C C C D D G,C C L D D G,"CGY #93 BENNETT HIT T.B #6 STRALMAN, Off. Zone",5,31,T.B,CGY
79,1,MISS,C R L D D G,C R L D D G,"CGY #11 BACKLUND, Wrist, Wide of Net, Off. Zone, 40 ft.",5,19,T.B,CGY
80,1,HIT,C R L D D G,C R L D D G,"T.B #55 COBURN HIT CGY #4 RUSSELL, Def. Zone",5,01,T.B,CGY
81,1,HIT,C R L D D G,C R L D D G,"CGY #79 FERLAND HIT T.B #18 PALAT, Off. Zone",4,54,T.B,CGY
