game,total_sec,success
20112012_1.html.csv,34,0
20112012_100.html.csv,115,0
20112012_1002.html.csv,80,0
20112012_1003.html.csv,159,-1
20112012_1004.html.csv,119,0
20112012_1005.html.csv,87,-1
20112012_1006.html.csv,75,1
20112012_1008.html.csv,65,-1
20112012_1009.html.csv,43,0
20112012_1011.html.csv,44,0
20112012_1012.html.csv,88,-1
20112012_1013.html.csv,113,0
20112012_1014.html.csv,80,0
20112012_1018.html.csv,59,0
20112012_1019.html.csv,61,-1
20112012_1021.html.csv,44,0
20112012_1022.html.csv,46,-1
20112012_1025.html.csv,131,0
20112012_1026.html.csv,100,-1
20112012_1027.html.csv,31,0
20112012_1028.html.csv,94,1
20112012_103.html.csv,171,0
20112012_1031.html.csv,164,0
20112012_1033.html.csv,97,1
20112012_1035.html.csv,36,0
20112012_1038.html.csv,123,0
20112012_1039.html.csv,291,-1
20112012_104.html.csv,102,-1
20112012_1041.html.csv,102,-1
20112012_1042.html.csv,62,0
20112012_1045.html.csv,31,-1
20112012_1046.html.csv,93,1
20112012_1049.html.csv,102,-1
20112012_105.html.csv,104,-1
20112012_1050.html.csv,43,0
20112012_1053.html.csv,78,0
20112012_1055.html.csv,110,0
20112012_1056.html.csv,82,1
20112012_106.html.csv,4,0
20112012_1061.html.csv,86,0
20112012_1063.html.csv,55,0
20112012_1064.html.csv,25,-1
20112012_1067.html.csv,93,-1
20112012_1069.html.csv,211,0
20112012_107.html.csv,100,0
20112012_1070.html.csv,292,-1
20112012_1071.html.csv,65,0
20112012_1073.html.csv,58,0
20112012_1077.html.csv,107,-1
20112012_108.html.csv,89,0
20112012_1080.html.csv,95,-1
20112012_1081.html.csv,17,0
20112012_1083.html.csv,56,0
20112012_1085.html.csv,196,-1
20112012_1086.html.csv,76,-1
20112012_1087.html.csv,105,0
20112012_1088.html.csv,95,-1
20112012_1089.html.csv,79,0
20112012_109.html.csv,127,1
20112012_1092.html.csv,64,0
20112012_1093.html.csv,112,-1
20112012_1096.html.csv,128,-1
20112012_1097.html.csv,207,0
20112012_1098.html.csv,75,0
20112012_11.html.csv,49,0
20112012_110.html.csv,58,0
20112012_1101.html.csv,0,0
20112012_1106.html.csv,66,0
20112012_1107.html.csv,73,0
20112012_1109.html.csv,53,0
20112012_111.html.csv,55,0
20112012_1116.html.csv,120,-1
20112012_1117.html.csv,60,-1
20112012_1118.html.csv,38,-1
20112012_112.html.csv,56,0
20112012_1122.html.csv,74,0
20112012_1123.html.csv,62,0
20112012_1124.html.csv,42,-1
20112012_1127.html.csv,128,-1
20112012_113.html.csv,50,1
20112012_1130.html.csv,148,-1
20112012_1132.html.csv,101,0
20112012_1134.html.csv,161,1
20112012_1136.html.csv,82,-1
20112012_1137.html.csv,12,0
20112012_1138.html.csv,44,0
20112012_1139.html.csv,255,-1
20112012_114.html.csv,198,-1
20112012_1140.html.csv,30,-1
20112012_1143.html.csv,271,1
20112012_1146.html.csv,65,0
20112012_1147.html.csv,57,0
20112012_1148.html.csv,96,0
20112012_1149.html.csv,108,0
20112012_1150.html.csv,83,-1
20112012_1151.html.csv,79,0
20112012_1152.html.csv,94,0
20112012_1153.html.csv,59,-1
20112012_1157.html.csv,96,1
20112012_1158.html.csv,61,1
20112012_116.html.csv,132,-1
20112012_1160.html.csv,123,0
20112012_1163.html.csv,72,-1
20112012_1164.html.csv,36,-1
20112012_1165.html.csv,80,-1
20112012_1166.html.csv,133,1
20112012_117.html.csv,87,-1
20112012_1171.html.csv,57,0
20112012_1175.html.csv,110,-1
20112012_1176.html.csv,34,0
20112012_1182.html.csv,67,0
20112012_1185.html.csv,90,-1
20112012_1186.html.csv,1,0
20112012_1187.html.csv,49,-1
20112012_1188.html.csv,34,0
20112012_1189.html.csv,41,0
